106 ['a', 'i', 't', 'p', 't', 's', 'a', 'r', 'u']
134 ['s', 'l', 'o', 'a', 'i', 't', 'e', 'h', 'o']
156 ['n', 'e', 's', 'n', 'a', 't', 's', 'c', 'n']
167 ['l', 's', 'e', 't', 't', 'o', 'n', 'a', 'r']
250 ['h', 's', 'r', 'a', 'l', 'e', 'e', 'd', 't']
122 ['d', 'o', 'u', 't', 'n', 'y', 'u', 's', 'e']
186 ['g', 't', 'e', 's', 'a', 's', 's', 'e', 'h']
293 ['f', 'o', 's', 'r', 't', 'a', 'a', 'e', 's']
231 ['s', 't', 'n', 'a', 'e', 's', 'r', 'i', 's']
299 ['r', 'a', 's', 'n', 'i', 't', 's', 'e', 'n']
309 ['p', 'k', 'o', 'n', 'd', 't', 'a', 's', 'b', 'e', 'a', 't', 's', 'i', 'w', 'o']
340 ['o', 'e', 'w', 'b', 'o', 's', 'a', 't', 'n', 'k', 'i', 's', 't', 'a', 'p', 'o']
343 ['a', 'h', 's', 'p', 'h', 't', 'a', 'y', 'o', 'n', 'c', 'c', 'b', 'f', 'k', 's']
313 ['i', 's', 'e', 'e', 't', 'm', 'h', 'a', 'o', 'o', 't', 'e', 's', 't', 'c', 'u']
467 ['e', 's', 't', 't', 'e', 'e', 'l', 'a', 't', 'o', 'e', 'u', 'i', 's', 'm', 'o']
229 ['e', 'o', 'u', 's', 't', 'l', 'a', 'c', 't', 'h', 'i', 'l', 'a', 't', 'w', 'n']
291 ['n', 'u', 'h', 'n', 't', 's', 'c', 'a', 'r', 's', 'd', 't', 'o', 'n', 'e', 'e']
394 ['i', 'u', 'd', 'r', 'e', 'g', 'e', 'f', 'e', 's', 't', 's', 'r', 'a', 'a', 'a']
282 ['a', 't', 'n', 'r', 't', 'c', 'a', 'b', 's', 'h', 'o', 'o', 'o', 'h', 'l', 'e']
395 ['e', 'a', 's', 'n', 'v', 's', 't', 'o', 'h', 'a', 'e', 's', 'i', 'k', 'u', 'c']
609 ['f', 'g', 't', 'o', 'r', 'a', 'c', 't', 'n', 'e', 't', 'o', 'o', 's', 'n', 's']
